Date	GrossSale	Day
5/1/2017	917.5	Monday
5/2/2017	1374.25	Tuesday
5/3/2017	1011.75	Wednesday
5/4/2017	2780	Thursday
5/5/2017	11965	Friday
5/6/2017	5986.5	Saturday
5/7/2017	505.75	Sunday
5/8/2017	735.25	Monday
5/9/2017	2379.75	Tuesday
5/10/2017	1533.25	Wednesday
5/11/2017	2654.5	Thursday
5/12/2017	8025.5	Friday
5/13/2017	9439.5	Saturday
5/14/2017	425.75	Sunday
5/15/2017	1067.25	Monday
5/16/2017	2213.5	Tuesday
5/17/2017	1441.75	Wednesday
5/18/2017	3823.5	Thursday
5/19/2017	9084.25	Friday
5/20/2017	12304.5	Saturday
5/21/2017	974.25	Sunday
5/22/2017	783.25	Monday
5/23/2017	1608.5	Tuesday
5/24/2017	1551.25	Wednesday
5/25/2017	3863	Thursday
5/26/2017	5633.25	Friday
5/27/2017	8130.25	Saturday
5/28/2017	1990	Sunday
5/29/2017	0	Monday
5/30/2017	1281	Tuesday
5/31/2017	859.5	Wednesday
6/1/2017	2861	Thursday
6/2/2017	6723.25	Friday
6/3/2017	6140.5	Saturday
6/4/2017	794.25	Sunday
6/5/2017	828.5	Monday
6/6/2017	1447.75	Tuesday
6/7/2017	1306	Wednesday
6/8/2017	3809.75	Thursday
6/9/2017	5613	Friday
6/10/2017	7295.25	Saturday
6/11/2017	611.75	Sunday
6/12/2017	908.75	Monday
6/13/2017	2057.25	Tuesday
6/14/2017	1362	Wednesday
6/15/2017	2784.75	Thursday
6/16/2017	6652	Friday
6/17/2017	5674.5	Saturday
6/18/2017	339.25	Sunday
6/19/2017	1382	Monday
6/20/2017	1728.75	Tuesday
6/21/2017	1629.25	Wednesday
6/22/2017	3350.75	Thursday
6/23/2017	6688.25	Friday
6/24/2017	7584.75	Saturday
6/25/2017	1045.5	Sunday
6/26/2017	586.25	Monday
6/27/2017	1591	Tuesday
6/28/2017	1333.5	Wednesday
6/29/2017	5101.75	Thursday
6/30/2017	4714.5	Friday
7/1/2017	5737	Saturday
7/2/2017	1486.25	Sunday
7/3/2017	3851	Monday
7/4/2017	1963.25	Tuesday
7/5/2017	1194	Wednesday
7/6/2017	2435	Thursday
7/7/2017	5361.25	Friday
7/8/2017	7388	Saturday
7/9/2017	548.75	Sunday
7/10/2017	1203.75	Monday
7/11/2017	2206.25	Tuesday
7/12/2017	1174.75	Wednesday
7/13/2017	2836.25	Thursday
7/14/2017	5639.25	Friday
7/15/2017	7289.25	Saturday
7/16/2017	788.75	Sunday
7/17/2017	688.25	Monday
7/18/2017	1279	Tuesday
7/19/2017	1508.25	Wednesday
7/20/2017	2660	Thursday
7/21/2017	5609	Friday
7/22/2017	7011.25	Saturday
7/23/2017	886	Sunday
7/24/2017	1207.5	Monday
7/25/2017	1478	Tuesday
7/26/2017	1460.25	Wednesday
7/27/2017	2342	Thursday
7/28/2017	4506.25	Friday
7/29/2017	7488	Saturday
7/30/2017	1199.5	Sunday
7/31/2017	1111.25	Monday
8/1/2017	1147.25	Tuesday
8/2/2017	2309.25	Wednesday
8/3/2017	2757.75	Thursday
8/4/2017	7305	Friday
8/5/2017	6779	Saturday
8/6/2017	494.5	Sunday
8/7/2017	889.75	Monday
8/8/2017	1605.25	Tuesday
8/9/2017	1014.25	Wednesday
8/10/2017	2424.5	Thursday
8/11/2017	5061.25	Friday
8/12/2017	11531.5	Saturday
8/13/2017	1421.75	Sunday
8/14/2017	728.5	Monday
8/15/2017	1313.5	Tuesday
8/16/2017	1392.5	Wednesday
8/17/2017	2543	Thursday
8/18/2017	4899	Friday
8/19/2017	6758.75	Saturday
8/20/2017	1225.75	Sunday
8/21/2017	756.5	Monday
8/22/2017	1278.75	Tuesday
8/23/2017	1222.75	Wednesday
8/24/2017	2487.25	Thursday
8/25/2017	5571.75	Friday
8/26/2017	3320.5	Saturday
8/27/2017	677.25	Sunday
8/28/2017	646	Monday
8/29/2017	1271	Tuesday
8/30/2017	1122.25	Wednesday
8/31/2017	2787.75	Thursday
9/1/2017	3734	Friday
9/2/2017	7151.75	Saturday
9/3/2017	2409.75	Sunday
9/4/2017	0	Monday
9/5/2017	1216.5	Tuesday
9/6/2017	813.25	Wednesday
9/7/2017	2467	Thursday
9/8/2017	4844.75	Friday
9/9/2017	7002.25	Saturday
9/10/2017	1624.25	Sunday
9/11/2017	403	Monday
9/12/2017	1265.75	Tuesday
9/13/2017	1024	Wednesday
9/14/2017	2272.25	Thursday
9/15/2017	6355	Friday
9/16/2017	6016.5	Saturday
9/17/2017	903.5	Sunday
9/18/2017	869	Monday
9/19/2017	1023.75	Tuesday
9/20/2017	1208.25	Wednesday
9/21/2017	4304	Thursday
9/22/2017	6505.25	Friday
9/23/2017	6834	Saturday
9/24/2017	1018.75	Sunday
9/25/2017	642.25	Monday
9/26/2017	1930.75	Tuesday
9/27/2017	943.25	Wednesday
9/28/2017	1645	Thursday
9/29/2017	10331.5	Friday
9/30/2017	8384	Saturday
10/1/2017	859	Sunday
10/2/2017	976.5	Monday
10/3/2017	1153.75	Tuesday
10/4/2017	1495.75	Wednesday
10/5/2017	2918.75	Thursday
10/6/2017	4611	Friday
10/7/2017	6405	Saturday
10/8/2017	1720.75	Sunday
10/9/2017	1903.751543.5	Monday
10/10/2017	1492.25	Tuesday
10/11/2017	5017.5	Wednesday
10/12/2017	5401	Thursday
10/13/2017	7431.25	Friday
10/14/2017	609.5	Saturday
10/15/2017	850.75	Sunday
10/16/2017	1648.75	Monday
10/17/2017	1588.5	Tuesday
10/18/2017	5084	Wednesday
10/19/2017	6250.75	Thursday
10/20/2017	9006.5	Friday
10/21/2017	2557	Saturday
10/22/2017	1361.75	Sunday
10/23/2017	4548.25	Monday
10/24/2017	1335.75	Tuesday
10/25/2017	3038.25	Wednesday
10/26/2017	5795.75	Thursday
10/27/2017	8083	Friday
10/28/2017	1551.25	Saturday
10/29/2017	804.75	Sunday
10/30/2017	2913.75	Monday
10/31/2017	907	Tuesday
11/1/2017	3766	Wednesday
11/2/2017	6309.5	Thursday
11/3/2017	10567.75	Friday
11/4/2017	1675.75	Saturday
11/5/2017	1011.75	Sunday
11/6/2017	1009.5	Monday
11/7/2017	1173	Tuesday
11/8/2017	3022.5	Wednesday
11/9/2017	6060.5	Thursday
11/10/2017	6383.5	Friday
11/11/2017	1390.25	Saturday
11/12/2017	597.5	Sunday
11/13/2017	1500.75	Monday
11/14/2017	1500.75	Tuesday
11/15/2017	1192	Wednesday
11/16/2017	2841	Thursday
11/17/2017	6380.5	Friday
11/18/2017	12112	Saturday
11/19/2017	2212.25	Sunday
11/20/2017	1156	Monday
11/21/2017	1583.75	Tuesday
11/22/2017	2091.75	Wednesday
11/23/2017	4275.75	Thursday
11/24/2017	4792.25	Friday
11/25/2017	6153	Saturday
11/26/2017	744	Sunday
11/27/2017	771	Monday
11/28/2017	1512	Tuesday
11/29/2017	1003.25	Wednesday
11/30/2017	2777.5	Thursday
12/1/2017	5628	Friday
12/2/2017	9128	Saturday
12/3/2017	1072.5	Sunday
12/4/2017	916.75	Monday
12/5/2017	1259	Tuesday
12/6/2017	1539.75	Wednesday
12/7/2017	3222	Thursday
12/8/2017	5310.75	Friday
12/9/2017	8693.75	Saturday
12/10/2017	1640	Sunday
12/11/2017	849.5	Monday
12/12/2017	2248	Tuesday
12/13/2017	2867	Wednesday
12/14/2017	2747.25	Thursday
12/15/2017	6566.5	Friday
12/16/2017	12311	Saturday
12/17/2017	1510.5	Sunday
12/18/2017	1115.75	Monday
12/19/2017	2001	Tuesday
12/20/2017	1988.75	Wednesday
12/21/2017	3471.25	Thursday
12/22/2017	5129.25	Friday
12/23/2017	4453.75	Saturday
12/24/2017	2146.5	Sunday
12/25/2017	0	Monday
12/26/2017	949.75	Tuesday
12/27/2017	1190.75	Wednesday
12/28/2017	2008.5	Thursday
12/29/2017	4268.5	Friday
12/30/2017	3750.75	Saturday
12/31/2017	9214	Sunday
